Ano Declarado = 2019
Coluna;;Admitidos/Desligados
Município;Grau Instrução;Admitidos;Desligados;Total
;6ª a 9ª Fundamental;30;23;53
;Fundamental Completo;65;77;142
;Médio Incompleto;17;20;37
;Médio Completo;223;191;414
;Superior Incompleto;4;4;8
;Superior Completo;8;13;21
Sp-Cachoeira Paulista;Total;1266;1301;2567
;Analfabeto;1;1;2
;Até 5ª Incompleto;51;54;105
;5ª Completo Fundamental;14;18;32
;6ª a 9ª Fundamental;51;65;116
;Fundamental Completo;83;112;195
;Médio Incompleto;61;72;133
;Médio Completo;800;767;1567
;Superior Incompleto;31;34;65
;Superior Completo;174;178;352
Sp-Caraguatatuba;Total;8384;8470;16854
;Analfabeto;13;11;24
;Até 5ª Incompleto;91;167;258
;5ª Completo Fundamental;59;99;158
;6ª a 9ª Fundamental;236;284;520
;Fundamental Completo;521;593;1114
;Médio Incompleto;553;599;1152
;Médio Completo;6111;5943;12054
;Superior Incompleto;217;219;436
;Superior Completo;583;555;1138
Sp-Cruzeiro;Total;4037;3344;7381
;Analfabeto;0;1;1
;Até 5ª Incompleto;15;13;28
;5ª Completo Fundamental;30;25;55
;6ª a 9ª Fundamental;40;46;86
;Fundamental Completo;140;205;345
;Médio Incompleto;169;196;365
;Médio Completo;3057;2349;5406
;Superior Incompleto;168;144;312
;Superior Completo;418;365;783
Sp-Guaratingueta;Total;8954;8558;17512
;Analfabeto;11;9;20
;Até 5ª Incompleto;220;188;408
;5ª Completo Fundamental;141;139;280
;6ª a 9ª Fundamental;278;273;551
;Fundamental Completo;780;975;1755
;Médio Incompleto;725;647;1372
;Médio Completo;5225;4942;10167
;Superior Incompleto;238;198;436
;Superior Completo;1336;1187;2523
Sp-Jacarei;Total;16174;15219;31393
;Analfabeto;13;11;24
;Até 5ª Incompleto;107;116;223
;5ª Completo Fundamental;93;123;216
;6ª a 9ª Fundamental;495;520;1015
;Fundamental Completo;869;965;1834
;Médio Incompleto;973;946;1919
;Médio Completo;11057;10220;21277
;Superior Incompleto;541;524;1065
;Superior Completo;2026;1794;3820
Sp-Lorena;Total;5133;4655;9788
;Analfabeto;8;9;17
;Até 5ª Incompleto;61;41;102
;5ª Completo Fundamental;38;47;85
;6ª a 9ª Fundamental;114;138;252
;Fundamental Completo;291;314;605
;Médio Incompleto;267;272;539
;Médio Completo;3379;3060;6439
;Superior Incompleto;171;150;321
;Superior Completo;804;624;1428
Sp-Natividade da Serra;Total;95;102;197
;Analfabeto;0;1;1
;Até 5ª Incompleto;5;6;11
;5ª Completo Fundamental;9;9;18
;6ª a 9ª Fundamental;3;4;7
;Fundamental Completo;14;19;33
;Médio Incompleto;4;7;11
;Médio Completo;58;56;114
;Superior Incompleto;2;0;2
Sp-Pindamonhangaba;Total;9588;9106;18694
;Analfabeto;12;8;20
;Até 5ª Incompleto;107;111;218
;5ª Completo Fundamental;66;103;169
;6ª a 9ª Fundamental;291;281;572
